[2021-11-30 16:47:27.037] [main] [info] update#setState idle
[2021-11-30 16:47:57.040] [main] [info] update#setState checking for updates
[2021-11-30 16:47:57.057] [main] [info] update#setState available for download
[2021-11-30 17:04:09.989] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:41:45.254] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:41:54.114] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:41:55.978] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:42:04.608] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:43:44.508] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:43:46.508] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:43:46.931] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:43:47.218] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:43:50.632] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:44:10.113] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:00.856] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:01.163] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:15.134] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:15.728] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:16.010] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:18.764] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:28.109] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 17:47:31.555] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:00:41.023] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:00:43.318] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:00:45.405] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:00:53.720] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:01:55.255] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:02:12.303] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
[2021-11-30 18:32:32.490] [main] [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
